,name,floor,height,year,area
136,汐留メディアタワー,34,172.545,2003.0,東京都港区
137,東京汐留ビルディング(コンラッド東京),37,172.5,2005.0,東京都港区
138,幕張ベイパーク スカイグランドタワー,48,172.4,2020.0,千葉県千葉市
139,パークアクシス青山一丁目タワー,46,172.39,2007.0,東京都港区
140,ロイヤルパーク汐留タワー,38,172.0,2003.0,東京都港区
141,クイーンズタワーA,36,171.8,1997.0,神奈川県横浜市
142,シティタワーズ豊洲 ザ・ツイン N棟,48,171.2,2009.0,東京都江東区
143,シティタワーズ豊洲 ザ・ツイン S棟,48,171.2,2009.0,東京都江東区
144,京橋エドグラン,32,170.41,2016.0,東京都中央区
145,丸の内パークビルディング,34,170.09,2009.0,東京都千代田区
146,パークコート赤坂檜町ザ タワー,44,170.0,2018.0,東京都港区
147,神戸関電ビルディング,18,170.0,2000.0,兵庫県神戸市
148,大手町二丁目地区第一種市街地再開発事業 B棟,33,170.0,2018.0,東京都千代田区
149,モード学園スパイラルタワーズ,36,170.0,2008.0,愛知県名古屋市
150,御影タワーレジデンス,47,170.0,2010.0,兵庫県神戸市
151,グローバルゲート ウエストタワー(名古屋プリンスホテル スカイタワー),36,170.0,2017.0,愛知県名古屋市
152,芝浦アイランド エアタワー,48,169.9,2007.0,東京都港区
153,シティタワー大阪,50,169.8,2003.0,大阪府大阪市
154,JTビル,35,169.7,1995.0,東京都港区
155,ザ・パークハウス晴海タワーズ クロノレジデンス,49,169.2,2013.0,東京都中央区
156,(仮称)TGMM芝浦プロジェクト(A棟・ホテル棟新築工事),32,169.1,2018.0,東京都港区
157,ベイシティ晴海 スカイリンクタワー,49,168.95,2009.0,東京都中央区
158,芝浦アイランド グローヴタワー,49,168.8,2007.0,東京都港区
159,ブランズタワー梅田 North,50,168.44,2020.0,大阪府大阪市
160,明治安田生命さいたま新都心ビル ランド・アクシス・タワー,35,168.3,2002.0,埼玉県さいたま市
161,大手町フィナンシャルシティグランキューブ,31,168.28,2016.0,東京都千代田区
162,JR新宿ミライナタワー,33,168.16,2016.0,東京都新宿区
163,セントラルパークタワー・ラ・トゥール新宿,46,167.81,2010.0,東京都新宿区
164,ザ・パークハウス晴海タワーズ ティアロレジデンス,49,167.6,2016.0,東京都中央区
165,芝浦アイランド ブルームタワー,48,167.415,2008.0,東京都港区
166,キャピタルマークタワー,47,167.31,2007.0,東京都港区
167,恵比寿ガーデンプレイスタワー,39,167.0,1994.0,東京都渋谷区
168,オークプリオタワーレジデンス オーク4番街,50,167.0,1993.0,大阪府大阪市
169,サピアタワー(ホテルメトロポリタン丸の内),35,166.1,2007.0,東京都千代田区
170,アーバンビューグランドタワー,43,166.0,2003.0,広島県広島市
171,グランクロスタワー広島,46,166.0,2016.0,広島県広島市
172,東芝ビルディング,40,165.9,1984.0,東京都港区
173,中目黒アトラスタワー,45,165.0,2009.0,東京都目黒区
174,シティタワー大阪本町,48,165.0,2021.0,大阪府大阪市
175,三田ベルジュビル(ベルジュ三田),33,165.0,2012.0,東京都港区
176,東京ツインパークス ライトウィング,47,165.0,2002.0,東京都港区
177,豊洲センタービル,37,165.0,1992.0,東京都江東区
178,晴海アイランド トリトンスクエア 晴海ビュータワー1号棟,50,165.0,1998.0,東京都中央区
179,パークタワー新川崎,46,165.0,2016.0,神奈川県川崎市
180,東京ツインパークス レフトウィング,47,165.0,2002.0,東京都港区
181,パークタワー勝どきミッド,45,164.85,2023.0,東京都中央区
182,ワテラス タワーレジデンス,41,164.8,2014.0,東京都千代田区
183,KDDIビル,32,164.7,1974.0,東京都新宿区
184,ザ・千里タワー,50,164.2,2009.0,大阪府豊中市
185,東京ビルディング,33,164.1,2005.0,東京都千代田区
186,新宿フロントタワー,35,163.4,2011.0,東京都新宿区
187,(仮称)相模大野4丁目計画,43,163.0,2025.0,神奈川県相模原市
188,東京都庁第二本庁舎,34,163.0,1991.0,東京都新宿区
189,岐阜シティタワー43,43,162.82,2007.0,岐阜県岐阜市
190,パークシティ武蔵小杉 ステーションフォレストタワー,47,162.8,2008.0,神奈川県川崎市
191,世界貿易センタービル,40,162.59,1970.0,東京都港区
192,赤坂タワーレジデンス Top of the Hill,45,162.0,2008.0,東京都港区
193,ザ・ライオンズミッドキャピタルタワー,47,161.85,2009.0,愛知県名古屋市
194,シティタワーグラン天王寺,43,161.775,2007.0,大阪府大阪市
195,リエトコート武蔵小杉 ザ・クラッシィタワー,45,161.77,2008.0,神奈川県川崎市
196,リエトコート武蔵小杉イーストタワー,45,161.14,2008.0,神奈川県川崎市
197,アプローズタワー(ホテル阪急インターナショナル),34,161.1,1992.0,大阪府大阪市
198,津田沼 ザ・タワー,44,161.04,2020.0,千葉県習志野市
199,(仮称)みなとみらい21中央地区53街区開発事業,30,161.0,2024.0,神奈川県横浜市
200,新宿マインズタワー,34,161.0,1995.0,東京都渋谷区
